player_name,age,year,overall_rating,potential,overall_rating_potential_diff,preferred_foot
Aaron Appindangoye,24,2016,67.0,71.0,-4.0,right
Aaron Appindangoye,23,2015,61.0,65.0,-4.0,right
Aaron Appindangoye,15,2007,61.0,65.0,-4.0,right
Aaron Cresswell,27,2016,73.0,75.0,-2.0,left
Aaron Cresswell,26,2015,71.0,75.0,-4.0,left
Aaron Cresswell,25,2014,70.0,79.0,-9.0,left
Aaron Cresswell,24,2013,69.0,80.0,-11.0,left
Aaron Cresswell,23,2012,65.0,68.0,-3.0,left
Aaron Cresswell,22,2011,64.0,68.0,-4.0,left
Aaron Cresswell,21,2010,51.0,64.0,-13.0,left
Aaron Cresswell,20,2009,47.0,60.0,-13.0,left
Aaron Cresswell,19,2008,53.0,60.0,-7.0,right
Aaron Cresswell,18,2007,53.0,60.0,-7.0,right
Aaron Doran,25,2016,65.0,67.0,-2.0,right
Aaron Doran,24,2015,66.0,70.0,-4.0,right
Aaron Doran,23,2014,69.0,78.0,-9.0,right
Aaron Doran,22,2013,69.0,76.0,-7.0,right
Aaron Doran,21,2012,65.0,75.0,-10.0,right
Aaron Doran,20,2011,67.0,78.0,-11.0,right
Aaron Doran,19,2010,65.0,70.0,-5.0,right
Aaron Doran,18,2009,59.0,70.0,-11.0,right
Aaron Doran,16,2007,59.0,70.0,-11.0,right
Aaron Galindo,34,2016,69.0,69.0,0.0,right
Aaron Galindo,33,2015,67.0,67.0,0.0,right
Aaron Galindo,32,2014,67.0,67.0,0.0,right
Aaron Galindo,31,2013,68.0,70.0,-2.0,right
Aaron Galindo,30,2012,69.0,70.0,-1.0,right
Aaron Galindo,29,2011,69.0,70.0,-1.0,right
Aaron Galindo,28,2010,69.0,70.0,-1.0,right
Aaron Galindo,27,2009,75.0,82.0,-7.0,right
Aaron Galindo,26,2008,73.0,82.0,-9.0,right
Aaron Galindo,25,2007,71.0,78.0,-7.0,right
Aaron Hughes,36,2015,70.0,70.0,0.0,right
Aaron Hughes,35,2014,72.0,72.0,0.0,right
Aaron Hughes,34,2013,74.0,74.0,0.0,right
Aaron Hughes,33,2012,75.0,75.0,0.0,right
Aaron Hughes,32,2011,75.0,81.0,-6.0,right
Aaron Hughes,31,2010,78.0,81.0,-3.0,right
Aaron Hughes,30,2009,75.0,81.0,-6.0,right
Aaron Hughes,29,2008,72.0,78.0,-6.0,right
Aaron Hughes,28,2007,75.0,75.0,0.0,right
Aaron Hunt,30,2016,77.0,77.0,0.0,left
Aaron Hunt,29,2015,78.0,78.0,0.0,left
Aaron Hunt,28,2014,79.0,81.0,-2.0,left
Aaron Hunt,27,2013,79.0,81.0,-2.0,left
Aaron Hunt,26,2012,75.0,78.0,-3.0,left
Aaron Hunt,25,2011,76.0,83.0,-7.0,left
Aaron Hunt,24,2010,78.0,83.0,-5.0,left
Aaron Hunt,23,2009,75.0,82.0,-7.0,left
Aaron Hunt,22,2008,76.0,86.0,-10.0,left
Aaron Hunt,21,2007,73.0,80.0,-7.0,left
Aaron Kuhl,20,2016,61.0,75.0,-14.0,right
Aaron Kuhl,19,2015,61.0,76.0,-15.0,right
Aaron Kuhl,18,2014,60.0,77.0,-17.0,right
Aaron Kuhl,11,2007,60.0,77.0,-17.0,right
Aaron Lennon,28,2015,78.0,78.0,0.0,right
Aaron Lennon,27,2014,79.0,80.0,-1.0,right
Aaron Lennon,26,2013,81.0,82.0,-1.0,right
Aaron Lennon,25,2012,81.0,84.0,-3.0,right
Aaron Lennon,24,2011,82.0,85.0,-3.0,right
Aaron Lennon,23,2010,84.0,87.0,-3.0,right
Aaron Lennon,22,2009,79.0,87.0,-8.0,right
Aaron Lennon,21,2008,80.0,87.0,-7.0,right
Aaron Lennon,20,2007,79.0,90.0,-11.0,right
Aaron Lennox,23,2016,48.0,57.0,-9.0,right
Aaron Lennox,21,2014,48.0,57.0,-9.0,right
Aaron Lennox,14,2007,48.0,57.0,-9.0,right
Aaron Meijers,28,2015,69.0,70.0,-1.0,left
Aaron Meijers,27,2014,67.0,69.0,-2.0,left
Aaron Meijers,26,2013,67.0,71.0,-4.0,left
Aaron Meijers,25,2012,67.0,71.0,-4.0,right
Aaron Meijers,24,2011,64.0,67.0,-3.0,right
Aaron Meijers,21,2008,64.0,67.0,-3.0,right
Aaron Meijers,20,2007,64.0,67.0,-3.0,right
Aaron Mokoena,32,2012,68.0,68.0,0.0,right
Aaron Mokoena,31,2011,70.0,78.0,-8.0,right
Aaron Mokoena,30,2010,74.0,78.0,-4.0,right
Aaron Mokoena,29,2009,72.0,78.0,-6.0,right
Aaron Mokoena,28,2008,72.0,78.0,-6.0,right
Aaron Mokoena,27,2007,72.0,80.0,-8.0,right
Aaron Mooy,26,2016,74.0,77.0,-3.0,right
Aaron Mooy,25,2015,65.0,70.0,-5.0,right
Aaron Mooy,24,2014,65.0,77.0,-12.0,right
Aaron Mooy,23,2013,65.0,73.0,-8.0,right
Aaron Mooy,22,2012,61.0,73.0,-12.0,right
Aaron Mooy,21,2011,60.0,67.0,-7.0,right
Aaron Mooy,20,2010,60.0,67.0,-7.0,right
Aaron Mooy,19,2009,60.0,67.0,-7.0,right
Aaron Mooy,17,2007,60.0,67.0,-7.0,right
Aaron Muirhead,24,2014,63.0,70.0,-7.0,right
Aaron Muirhead,23,2013,63.0,70.0,-7.0,right
Aaron Muirhead,17,2007,63.0,70.0,-7.0,right
Aaron Niguez,27,2016,70.0,72.0,-2.0,left
Aaron Niguez,26,2015,70.0,75.0,-5.0,left
